12n4,539786.050,6307526.408,23.650,,
12n5,539786.753,6307526.448,23.579,,
12n6,539787.527,6307526.387,23.660,,
12n7,539788.491,6307526.486,23.820,,
12n8,539789.021,6307526.521,23.870,,
12n9,539789.436,6307526.561,23.563,,
12n10,539789.815,6307526.611,23.564,,
12n11,539790.108,6307526.586,23.573,,
12n12,539790.278,6307526.965,24.042,,
12n13,539792.579,6307526.005,24.451,,
13n1,539814.060,6307506.054,24.842,,
13n2,539814.666,6307507.395,24.574,,
13n3,539814.888,6307507.887,24.318,,
13n4,539815.076,6307508.254,23.987,,
13n5,539815.351,6307508.703,23.875,,
13n6,539815.457,6307509.163,23.707,,
13n7,539815.716,6307509.352,23.923,,
13n8,539815.905,6307509.735,23.782,,
13n9,539815.955,6307510.045,23.635,,
13n10,539816.164,6307510.747,23.673,,
13n11,539816.521,6307511.491,23.601,,
13n12,539816.867,6307512.193,23.666,,
13n13,539817.010,6307512.623,23.814,,
13n14,539817.021,6307513.048,24.219,,
13n15,539819.879,6307515.290,24.512,,
14n1,539831.994,6307484.773,24.888,,
14n2,539830.648,6307485.246,24.434,,
14n3,539829.797,6307485.577,24.183,,
14n4,539828.856,6307486.034,24.175,,
14n5,539828.298,6307485.984,23.606,,
14n6,539827.606,6307486.311,23.565,,
14n7,539826.982,6307486.651,23.482,,
14n8,539826.237,6307486.886,23.509,,
14n9,539825.751,6307487.049,23.762,,
14n10,539825.074,6307487.069,23.796,,
14n11,539824.494,6307487.086,24.083,,
14n12,539824.160,6307487.163,24.271,,
14n13,539822.921,6307487.890,24.689,,
15n1,539813.200,6307445.015,24.403,,
15n2,539811.683,6307446.002,24.374,,
15n3,539811.480,6307446.249,24.159,,
15n4,539811.262,6307446.310,23.729,,
15n5,539810.704,6307446.688,23.642,,
15n6,539810.066,6307446.944,23.716,,
15n7,539809.435,6307447.386,23.606,,
15n8,539808.534,6307447.948,23.680,,
15n9,539807.903,6307448.437,23.542,,
15n10,539807.413,6307448.732,23.743,,
15n11,539807.108,6307448.917,24.167,,
15n12,539806.018,6307449.366,24.518,,
15n13,539804.518,6307449.962,24.797,,
16n1,539853.106,6307422.012,24.476,,
16n2,539852.029,6307420.383,24.368,,
16n3,539851.868,6307420.152,24.178,,
16n4,539851.680,6307420.043,24.018,,
16n5,539850.535,6307419.457,23.918,,
16n6,539849.982,6307418.957,23.902,,
16n7,539849.390,6307418.408,23.692,,
16n8,539848.779,6307418.027,23.477,,
16n9,539848.164,6307417.349,23.416,,
16n10,539847.512,6307416.683,23.730,,
16n11,539847.215,6307416.247,24.221,,
16n12,539844.982,6307413.840,24.910,,
17n1,539881.982,6307405.385,24.872,,
17n2,539881.830,6307406.710,24.617,,
